OBJECTID,Tree ID,Common Name,Scientific Name,Affiliation,Creator,Creation Date,Last Editor,Last Edit Date,GlobalID,x,y
3,2024001,Arizona sycamore,Platanus wrightii,Colorado State University,DBURCHAM,8/20/2024 4:21:36 AM,dburcham_CSUesri,8/21/2024 4:41:06 AM,05068446-99e8-482e-9d19-823a839a4fd6,-105.085290347203,40.5645181051388
4,2024012,American hornbeam,Carpinus caroliniana ‘JFS-KW6’,Colorado State University,DBURCHAM,8/20/2024 4:21:36 AM,,11/6/2024 4:35:24 PM,b083a8d2-91c0-4de2-9084-3b124d95fe76,-105.085294947842,40.5645334677425
5,2024023,sweetgum,Liquidambar styraciflua ‘JFS-KW1LS’,Colorado State University,DBURCHAM,8/20/2024 4:21:36 AM,dburcham_CSUesri,8/21/2024 2:07:26 PM,c2ae54a5-7885-4b80-93c8-9bc530a1c51d,-105.085299537156,40.5645481586796
6,2024002,Arizona sycamore,Platanus wrightii,Colorado State University,DBURCHAM,8/20/2024 4:21:36 AM,dburcham_CSUesri,8/21/2024 4:42:18 AM,22233569-32c7-4c28-812e-aaade7402658,-105.085313921639,40.5645144743537
7,2024013,Japanese zelkova,Zelkova serrata ‘JFS-KW4ZS’,Colorado State University,DBURCHAM,8/20/2024 4:21:36 AM,dburcham_CSUesri,8/21/2024 1:14:51 PM,910190ab-51b7-4e33-877b-20c69219faad,-105.085317183268,40.5645294919803
8,2024024,bigtooth maple,Acer grandidentatum ‘JFS-KW13AGRA’,Colorado State University,DBURCHAM,8/20/2024 4:21:36 AM,dburcham_CSUesri,8/21/2024 2:07:41 PM,e88d08bb-38dd-4516-a224-8b1b23d36c35,-105.085321249838,40.564543356418
9,2024003,Arizona sycamore,Platanus wrightii,Colorado State University,DBURCHAM,8/20/2024 4:21:36 AM,dburcham_CSUesri,8/21/2024 4:42:52 AM,21ba9267-7f6d-4df7-acd3-0ea1f10eced7,-105.085338811267,40.5645112235691
10,2024014,Japanese zelkova,Zelkova serrata ‘JFS-KW4ZS’,Colorado State University,DBURCHAM,8/20/2024 4:21:36 AM,dburcham_CSUesri,8/21/2024 1:55:01 PM,7eefbe48-c254-4b1f-ad8b-203c0022b523,-105.085341714492,40.5645263596879
11,2024025,chitalpa catalpa,Catalpa x chitalpa ‘NA82292’,Colorado State University,DBURCHAM,8/20/2024 4:21:36 AM,dburcham_CSUesri,8/21/2024 2:07:55 PM,6a7d5040-a268-48f7-9b2d-6d163f4797c8,-105.085344493839,40.5645404969377
12,2024004,Arizona sycamore,Platanus wrightii,Colorado State University,DBURCHAM,8/20/2024 4:21:36 AM,dburcham_CSUesri,8/21/2024 4:44:06 AM,71c2e77c-8e0f-431a-ab41-fa38344a4e52,-105.085363483035,40.5645068961573
13,2024015,Japanese zelkova,Zelkova serrata ‘JFS-KW4ZS’,Colorado State University,DBURCHAM,8/20/2024 4:21:36 AM,dburcham_CSUesri,8/21/2024 1:55:49 PM,63da4ae9-ba1e-4562-b737-0b725bad0490,-105.085365594212,40.564521427215
14,2024026,bigtooth maple,Acer grandidentatum ‘JFS-KW13AGRA’,Colorado State University,DBURCHAM,8/20/2024 4:21:36 AM,dburcham_CSUesri,8/21/2024 2:08:08 PM,fffb1a74-1be3-4d25-ba14-4c60c1a5a03a,-105.085367492507,40.5645368119203
15,2024005,Arizona sycamore,Platanus wrightii,Colorado State University,DBURCHAM,8/20/2024 4:21:36 AM,dburcham_CSUesri,8/21/2024 4:45:15 AM,ea45e22d-40e3-4fa9-8691-7f7166a34754,-105.085388186082,40.5645028650494
16,2024016,hybrid columnar oak,Quercus x bimundorum ‘JFS-KW1QX’,Colorado State University,DBURCHAM,8/20/2024 4:21:36 AM,dburcham_CSUesri,8/21/2024 1:57:05 PM,42afe619-4c3d-48e8-a4bd-0b8e9e06d958,-105.085390261867,40.5645181819492
17,2024027,chitalpa catalpa,Catalpa x chitalpa ‘NA82292’,Colorado State University,DBURCHAM,8/20/2024 4:21:36 AM,dburcham_CSUesri,8/21/2024 2:08:24 PM,778c9707-c70a-41b5-a39d-9c3c8560bac1,-105.085392609191,40.5645319179591
18,2024006,chinkapin oak,Quercus muehlenbergii,Colorado State University,DBURCHAM,8/20/2024 4:21:36 AM,dburcham_CSUesri,8/24/2024 3:40:49 AM,c0940099-2ea2-421f-addf-5eda94742b6e,-105.085410745786,40.5644985536845
19,2024017,hybrid columnar oak,Quercus x bimundorum ‘JFS-KW1QX’,Colorado State University,DBURCHAM,8/20/2024 4:21:36 AM,dburcham_CSUesri,8/21/2024 1:57:27 PM,8735674d-77b8-46fe-8584-7e2de4318e63,-105.085413684501,40.564512298955
20,2024007,green hawthorn,Crataegus viridis ‘Winter King’,Colorado State University,DBURCHAM,8/20/2024 4:21:36 AM,dburcham_CSUesri,8/21/2024 1:06:52 PM,1a1264c9-7910-4c56-b251-3eda198db8ba,-105.085432805646,40.5644935329366
21,2024018,hybrid columnar oak,Quercus x bimundorum ‘JFS-KW1QX’,Colorado State University,DBURCHAM,8/20/2024 4:21:36 AM,dburcham_CSUesri,8/21/2024 2:03:01 PM,2b503526-b605-4af4-80bb-ce3a8ace8f49,-105.085436268143,40.56450734125
22,2024008,green hawthorn,Crataegus viridis ‘Winter King’,Colorado State University,DBURCHAM,8/20/2024 4:21:36 AM,dburcham_CSUesri,8/21/2024 1:07:06 PM,0d403c9d-0550-4567-bf6c-4d75cc0379d0,-105.08545590695,40.5644888696284
23,2024019,chinkapin oak,Quercus muehlenbergii ,Colorado State University,DBURCHAM,8/20/2024 4:21:36 AM,dburcham_CSUesri,8/21/2024 2:03:18 PM,4d34f39f-5464-4b3d-ab13-90907bbba10c,-105.085460362756,40.5645027948363
24,2024009,green hawthorn,Crataegus viridis ‘Winter King’,Colorado State University,DBURCHAM,8/20/2024 4:21:36 AM,dburcham_CSUesri,8/21/2024 1:10:06 PM,bd7a1e0b-5373-46b7-8e0d-99cf40973ec7,-105.085483332589,40.5644845895881
25,2024020,Chenmou elm,Ulmus chenmoui ‘JAB Morton’,Colorado State University,DBURCHAM,8/20/2024 4:21:36 AM,dburcham_CSUesri,8/21/2024 2:03:35 PM,db6e7d45-14f5-4d2b-b1cc-27bc8a848013,-105.085488141063,40.5644985673395
26,2024010,American hornbeam,Carpinus caroliniana ‘JFS-KW6’,Colorado State University,DBURCHAM,8/20/2024 4:21:36 AM,dburcham_CSUesri,8/21/2024 1:10:19 PM,6d3c40a7-ee45-4f01-af9b-5554561a6e13,-105.085510695347,40.5644795719734
27,2024021,Chenmou elm,Ulmus chenmoui ‘JAB Morton’,Colorado State University,DBURCHAM,8/20/2024 4:21:36 AM,dburcham_CSUesri,8/21/2024 2:04:00 PM,193e1179-014a-4e02-9cf0-ad5078301cb2,-105.08551490764,40.5644945397846
28,2024011,American hornbeam,Carpinus caroliniana ‘JFS-KW6’,Colorado State University,DBURCHAM,8/20/2024 4:21:36 AM,dburcham_CSUesri,8/21/2024 1:10:34 PM,ba0942fe-eda5-43c2-ad7a-4500b4eec525,-105.085537239302,40.5644756570772
